Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NHLDW,National Holdings Corporation,0.3,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nhldw
NATI,National Instruments Corporation,47.1,6259578649,n/a,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/nati
NRC,National Research Corporation,39.58,984132595.8,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nrc
NSEC,"National Security Group, Inc.",11.8562,29962229.84,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nsec
EYE,"National Vision Holdings, Inc.",27,2114009550,n/a,2017,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/eye
NWLI,"National Western Life Group, Inc.",266.72,969799254.4,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/nwli
NAII,"Natural Alternatives International, Inc.",13.01,97876493.74,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/naii
NHTC,Natural Health Trends Corp.,11.56,131507623.5,n/a,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/nhtc
NATR,"Nature&#39;s Sunshine Products, Inc.",9,173459475,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/natr
BABY,Natus Medical Incorporated,26.76,908674709,n/a,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/baby
JSM,Navient Corporation,21.67,0,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/jsm
NAVI,Navient Corporation,13.51,3242400000,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/navi
NMCI,Navios Maritime Containers L.P.,2.44,84431564,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nmci
NBTB,NBT Bancorp Inc.,38.02,1662990466,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/nbtb
NCSM,"NCS Multistage Holdings, Inc.",3.97,185279574.5,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ncsm
NEBU,Nebula Acquisition Corporation,10.05,345468750,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebu
NEBUU,Nebula Acquisition Corporation,10.25,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuu
NEBUW,Nebula Acquisition Corporation,0.85,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nebuw
NKTR,Nektar Therapeutics,32.02,5574824777,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nktr
NMRD,Nemaura Medical Inc.,0.9602,199391210.5,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nmrd
NEOG,Neogen Corporation,60.66,3161599200,n/a,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/neog
NEO,"NeoGenomics, Inc.",20.83,1985547012,n/a,n/a,Health Care,Precision Instruments,https://www.nasdaq.com/symbol/neo
NTGN,"Neon Therapeutics, Inc.",6.16,174521079,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ntgn
NEON,Neonode Inc.,3.54,31154042.58,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/neon
NEOS,"Neos Therapeutics, Inc.",2.41,119831263.6,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/neos
NVCN,Neovasc Inc.,0.494,30620647.3,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvcn
NEPT,Neptune Wellness Solutions Inc.,4.09,327053794.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nept
UEPS,"Net 1 UEPS Technologies, Inc.",3.57,202897112.3,n/a,2005,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ueps
NETE,"Net Element, Inc.",5.65,21839888.55,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/nete
NTAP,"NetApp, Inc.",72.85,17992111776,n/a,1995,Technology,Electronic Components,https://www.nasdaq.com/symbol/ntap
